aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
2011_001480_1_aeroplane,2009_004882_1_bicycle,2008_008268_3_bird,2010_001212_5_boat,2011_002185_6_bottle,2007_007773_1_bus,,2010_005115_1_cat,2010_002575_1_chair,2010_003507_1_cow,2009_000212_5_diningtable,2008_001550_1_dog,2010_004045_3_horse,2008_000689_1_motorbike,,2011_001713_2_pottedplant,2009_005005_4_sheep,2008_005623_1_sofa,,2010_000787_3_tvmonitor
2010_001426_1_aeroplane,2010_000254_1_bicycle,2009_004568_1_bird,2010_001212_3_boat,2010_005952_1_bottle,2009_004369_1_bus,,2011_000634_1_cat,2008_004408_1_chair,2008_007544_1_cow,2009_002613_1_diningtable,2008_006203_1_dog,2009_004942_1_horse,2008_000378_1_motorbike,,2008_007108_7_pottedplant,2009_000725_1_sheep,,,2009_004062_18_tvmonitor
2011_001133_1_aeroplane,2008_008080_1_bicycle,2011_001902_1_bird,2010_002393_1_boat,2011_000375_1_bottle,2010_004627_1_bus,,2011_000379_1_cat,2009_000082_3_chair,2008_003297_1_cow,2009_001009_4_diningtable,2010_000626_1_dog,2007_008802_1_horse,2010_000490_3_motorbike,,2010_001717_1_pottedplant,2009_005005_6_sheep,,,2010_004982_1_tvmonitor
2010_002065_1_aeroplane,2010_004154_2_bicycle,2008_007940_1_bird,,2009_000340_3_bottle,2010_005527_1_bus,,2011_002147_1_cat,2010_000470_1_chair,2009_001518_3_cow,2010_001851_1_diningtable,2008_000080_1_dog,2009_000412_2_horse,2008_006944_3_motorbike,,2007_007624_8_pottedplant,2010_003954_1_sheep,,,2008_006948_2_tvmonitor
2008_006249_1_aeroplane,2009_000573_1_bicycle,2009_004765_1_bird,,2009_004228_6_bottle,2010_001771_1_bus,,2008_002177_1_cat,2008_004834_3_chair,2011_000109_2_cow,2009_002003_1_diningtable,2009_004200_1_dog,2008_003782_1_horse,2009_003020_1_motorbike,,2010_004825_7_pottedplant,2008_006339_1_sheep,,,2011_001730_1_tvmonitor
2008_008263_1_aeroplane,2009_004444_1_bicycle,2011_002458_1_bird,,2010_002586_3_bottle,2009_000140_5_bus,,2008_001374_1_cat,2010_001851_2_chair,2010_004789_1_cow,2010_005094_3_diningtable,2009_000647_1_dog,2010_000138_3_horse,2009_002180_3_motorbike,,2010_000750_1_pottedplant,2011_002464_1_sheep,,,2010_002586_4_tvmonitor
2010_000477_1_aeroplane,2010_003799_1_bicycle,2011_002503_1_bird,,2008_006585_5_bottle,2010_001410_1_bus,,2009_004234_1_cat,2009_000192_1_chair,2009_002912_2_cow,2010_003822_3_diningtable,2009_000156_1_dog,2008_005215_1_horse,2010_004219_1_motorbike,,2009_004979_1_pottedplant,2010_003754_2_sheep,,,
2010_004917_1_aeroplane,2009_001456_1_bicycle,2010_001481_1_bird,,2010_000492_3_bottle,2009_003458_1_bus,,2010_004141_1_cat,2009_000655_2_chair,2011_002609_1_cow,,2010_004248_1_dog,2008_003055_1_horse,2008_006441_1_motorbike,,2008_007388_1_pottedplant,2009_001505_2_sheep,,,
2010_002147_1_aeroplane,2010_003314_1_bicycle,2008_008309_2_bird,,2010_004828_1_bottle,2010_003293_1_bus,,2008_004640_1_cat,2008_006300_7_chair,2011_000069_2_cow,,2010_000973_1_dog,2010_000749_1_horse,2008_002179_4_motorbike,,2011_001009_1_pottedplant,2008_007069_3_sheep,,,
2011_003275_1_aeroplane,2009_002519_1_bicycle,2008_008268_1_bird,,2011_002610_2_bottle,2010_000603_1_bus,,2008_001741_1_cat,2009_004244_2_chair,2009_003825_1_cow,,2010_004931_1_dog,2009_002477_1_horse,2008_005603_1_motorbike,,2008_006950_2_pottedplant,2009_002988_1_sheep,,,
2011_001320_1_aeroplane,2009_002194_1_bicycle,2009_000146_1_bird,,2009_003003_6_bottle,2009_001674_1_bus,,2008_005550_1_cat,2009_004561_2_chair,2011_002189_1_cow,,2008_001420_4_dog,2007_000783_2_horse,2007_005759_1_motorbike,,2008_001869_4_pottedplant,2007_006899_2_sheep,,,
2010_003495_1_aeroplane,2007_001311_2_bicycle,2008_002200_1_bird,,2008_004037_3_bottle,2009_001734_1_bus,,2008_003841_1_cat,2008_003351_3_chair,2010_000808_1_cow,,2010_004064_1_dog,2011_000628_2_horse,2008_000082_4_motorbike,,2010_000284_3_pottedplant,2010_005767_2_sheep,,,
2010_001448_1_aeroplane,2009_001663_2_bicycle,2011_000669_1_bird,,2011_000885_23_bottle,2009_000557_1_bus,,2009_001391_1_cat,2008_006303_2_chair,2010_003239_1_cow,,2010_004683_1_dog,,2011_000397_1_motorbike,,2008_008531_2_pottedplant,2009_002988_2_sheep,,,
2011_003154_1_aeroplane,2010_006031_1_bicycle,2008_006281_1_bird,,2010_003828_1_bottle,2010_005063_3_bus,,2007_002470_1_cat,2008_006691_2_chair,2010_004635_1_cow,,2010_005929_1_dog,,2010_003200_1_motorbike,,2009_001514_2_pottedplant,2007_000925_1_sheep,,,
2007_002619_1_aeroplane,2010_000444_1_bicycle,2009_005040_1_bird,,2011_001571_2_bottle,2010_000524_1_bus,,2008_004583_1_cat,2009_002755_1_chair,2009_004289_1_cow,,2011_001877_1_dog,,2008_005427_1_motorbike,,2010_005830_7_pottedplant,2009_000837_1_sheep,,,
2007_006946_1_aeroplane,2008_008707_3_bicycle,2008_003087_1_bird,,2009_003034_1_bottle,2009_002203_1_bus,,2008_006175_1_cat,2010_000447_1_chair,2009_003956_5_cow,,2009_001225_1_dog,,2008_005297_1_motorbike,,2009_001975_1_pottedplant,2009_004171_1_sheep,,,
2009_005120_1_aeroplane,2007_007235_1_bicycle,,,2011_002920_12_bottle,2010_001646_3_bus,,2009_000553_1_cat,2008_007335_1_chair,2010_005223_2_cow,,2010_003222_1_dog,,2009_001973_1_motorbike,,2011_002810_31_pottedplant,2010_003376_3_sheep,,,
2009_002614_1_aeroplane,2008_007510_5_bicycle,,,2008_001304_15_bottle,2009_004187_1_bus,,,2009_001371_3_chair,2008_005105_1_cow,,2008_006798_1_dog,,2008_003844_1_motorbike,,2011_000875_3_pottedplant,2009_002133_1_sheep,,,
2007_007470_1_aeroplane,2010_002720_2_bicycle,,,2010_003914_3_bottle,2009_001590_1_bus,,,2009_005263_1_chair,2011_001708_1_cow,,2010_003554_1_dog,,2010_001313_1_motorbike,,2008_006337_2_pottedplant,,,,
2010_006082_1_aeroplane,2011_002811_1_bicycle,,,2011_000622_5_bottle,,,,2009_003508_12_chair,2010_002320_1_cow,,2009_002198_2_dog,,2009_000184_1_motorbike,,2008_006751_1_pottedplant,,,,
2008_007096_2_aeroplane,2009_004758_2_bicycle,,,2009_001106_4_bottle,,,,2009_004129_1_chair,2008_003094_3_cow,,2010_000079_1_dog,,2011_001524_8_motorbike,,2008_007390_1_pottedplant,,,,
2008_005250_1_aeroplane,2009_004508_4_bicycle,,,2010_004249_8_bottle,,,,2008_007988_1_chair,2011_000309_1_cow,,2010_005992_1_dog,,2011_000770_2_motorbike,,2008_007831_9_pottedplant,,,,
2010_005059_1_aeroplane,2007_006661_2_bicycle,,,2008_001304_3_bottle,,,,2008_006300_3_chair,2008_005010_8_cow,,2008_004763_2_dog,,2010_003745_1_motorbike,,2009_000439_1_pottedplant,,,,
2007_005043_1_aeroplane,2009_002833_1_bicycle,,,2010_003512_1_bottle,,,,2008_006337_1_chair,2008_003094_1_cow,,2010_005138_1_dog,,2011_002062_1_motorbike,,2008_001541_3_pottedplant,,,,
2011_002993_1_aeroplane,2007_003188_1_bicycle,,,2008_001223_6_bottle,,,,2008_001439_1_chair,2011_000784_1_cow,,2008_004763_3_dog,,2008_007054_1_motorbike,,2008_005897_6_pottedplant,,,,
2009_004446_4_aeroplane,2008_002679_1_bicycle,,,2008_007528_2_bottle,,,,2009_002952_1_chair,2011_001282_1_cow,,2008_007694_1_dog,,2008_007090_1_motorbike,,2011_000514_1_pottedplant,,,,
2008_006213_1_aeroplane,2009_001255_1_bicycle,,,2011_002610_3_bottle,,,,2008_004670_10_chair,2009_002542_1_cow,,2008_007378_1_dog,,2010_003736_1_motorbike,,2009_000926_5_pottedplant,,,,
2010_004817_1_aeroplane,2008_004995_1_bicycle,,,2010_004520_1_bottle,,,,2010_005894_1_chair,,,,,2008_004554_1_motorbike,,2010_002336_6_pottedplant,,,,
2007_003000_1_aeroplane,2008_008611_1_bicycle,,,2007_007021_4_bottle,,,,2009_001012_1_chair,,,,,2008_001150_1_motorbike,,2009_001514_4_pottedplant,,,,
2010_001979_1_aeroplane,2008_004280_1_bicycle,,,2008_005342_4_bottle,,,,2009_002613_7_chair,,,,,2010_000255_1_motorbike,,2008_002897_2_pottedplant,,,,
2008_004138_1_aeroplane,2009_004551_1_bicycle,,,2009_001414_2_bottle,,,,2009_000082_2_chair,,,,,2010_000510_1_motorbike,,2009_001922_2_pottedplant,,,,
2008_000033_1_aeroplane,2009_002764_1_bicycle,,,2007_008204_1_bottle,,,,2009_004452_2_chair,,,,,2008_007935_4_motorbike,,2011_002810_15_pottedplant,,,,
2010_004991_1_aeroplane,2009_004561_1_bicycle,,,2009_002671_3_bottle,,,,2008_000498_3_chair,,,,,2011_002786_1_motorbike,,2007_004948_3_pottedplant,,,,
2008_002221_1_aeroplane,2009_000724_2_bicycle,,,2008_004948_1_bottle,,,,2009_000422_1_chair,,,,,2008_008018_1_motorbike,,2009_001447_16_pottedplant,,,,
2009_000796_1_aeroplane,2009_003193_1_bicycle,,,2008_005867_1_bottle,,,,2009_002785_2_chair,,,,,2007_005878_1_motorbike,,2009_004885_2_pottedplant,,,,
2009_003667_1_aeroplane,2007_005430_2_bicycle,,,2009_004551_3_bottle,,,,2010_002199_3_chair,,,,,2010_002452_1_motorbike,,2008_000287_1_pottedplant,,,,
2009_004626_1_aeroplane,2009_001481_1_bicycle,,,2008_007697_1_bottle,,,,2008_005914_1_chair,,,,,2008_007443_10_motorbike,,2008_005627_2_pottedplant,,,,
2011_002222_1_aeroplane,2009_002853_2_bicycle,,,2010_004609_2_bottle,,,,2008_006330_1_chair,,,,,2008_002772_1_motorbike,,2008_007108_6_pottedplant,,,,
2009_003635_1_aeroplane,2007_001587_1_bicycle,,,2010_004460_2_bottle,,,,2008_004412_1_chair,,,,,2010_001923_1_motorbike,,2009_000422_5_pottedplant,,,,
2010_000270_1_aeroplane,2010_004609_1_bicycle,,,2008_007858_1_bottle,,,,2008_004008_1_chair,,,,,2011_001266_1_motorbike,,2008_000391_4_pottedplant,,,,
2010_003723_1_aeroplane,2010_002326_1_bicycle,,,2008_008330_2_bottle,,,,2009_000439_2_chair,,,,,2011_000233_1_motorbike,,2009_000214_3_pottedplant,,,,
2008_002719_1_aeroplane,2010_001049_1_bicycle,,,2008_002330_2_bottle,,,,2009_003835_1_chair,,,,,2011_001498_1_motorbike,,2008_006295_8_pottedplant,,,,
2009_005031_1_aeroplane,2007_000793_9_bicycle,,,2011_002920_20_bottle,,,,2009_005163_1_chair,,,,,2010_005501_2_motorbike,,2009_002755_4_pottedplant,,,,
2009_001435_1_aeroplane,2010_004894_1_bicycle,,,2011_003044_4_bottle,,,,2009_004002_2_chair,,,,,2010_004119_1_motorbike,,2008_006337_3_pottedplant,,,,
2010_005184_1_aeroplane,2009_002271_1_bicycle,,,2007_001408_1_bottle,,,,2009_001308_5_chair,,,,,2007_005759_4_motorbike,,2011_000196_3_pottedplant,,,,
2010_004557_3_aeroplane,2008_005982_1_bicycle,,,2009_003664_1_bottle,,,,2008_004313_4_chair,,,,,2008_007739_1_motorbike,,2008_007831_3_pottedplant,,,,
,2007_004769_1_bicycle,,,2010_000256_2_bottle,,,,2009_000722_2_chair,,,,,2010_000495_1_motorbike,,2011_002810_17_pottedplant,,,,
,2008_008320_1_bicycle,,,2011_002920_16_bottle,,,,2009_000624_1_chair,,,,,2008_004549_1_motorbike,,2009_001775_3_pottedplant,,,,
,2009_001830_1_bicycle,,,2009_004656_8_bottle,,,,2010_001731_1_chair,,,,,2009_004643_1_motorbike,,2008_005214_8_pottedplant,,,,
,2008_008707_5_bicycle,,,2010_000738_4_bottle,,,,2009_000082_1_chair,,,,,2008_008497_1_motorbike,,2009_001100_1_pottedplant,,,,
,2007_001311_5_bicycle,,,2009_000058_2_bottle,,,,2009_002301_1_chair,,,,,2011_001605_1_motorbike,,2007_007795_7_pottedplant,,,,
,2010_000829_1_bicycle,,,2010_006056_7_bottle,,,,2008_000089_1_chair,,,,,2008_003827_1_motorbike,,2007_002967_1_pottedplant,,,,
,2009_003075_2_bicycle,,,2010_002055_4_bottle,,,,2009_001754_8_chair,,,,,2008_007264_1_motorbike,,2009_001704_1_pottedplant,,,,
,2009_000430_3_bicycle,,,2009_004199_11_bottle,,,,2008_004313_1_chair,,,,,2009_001984_1_motorbike,,2011_002784_4_pottedplant,,,,
,2010_002497_1_bicycle,,,2010_002807_4_bottle,,,,2009_000198_1_chair,,,,,2008_001168_1_motorbike,,2009_004869_1_pottedplant,,,,
,2009_003905_1_bicycle,,,2009_004701_2_bottle,,,,2008_005257_3_chair,,,,,2009_004987_1_motorbike,,2007_007624_3_pottedplant,,,,
,2011_000412_1_bicycle,,,2009_000058_4_bottle,,,,2008_000498_2_chair,,,,,2011_000060_1_motorbike,,2010_004982_3_pottedplant,,,,
,2008_008629_3_bicycle,,,2009_002521_1_bottle,,,,2010_004029_1_chair,,,,,2009_004338_2_motorbike,,2011_000010_1_pottedplant,,,,
,2011_000950_1_bicycle,,,2008_003200_1_bottle,,,,2009_003508_8_chair,,,,,2008_002926_1_motorbike,,2008_006207_1_pottedplant,,,,
,2010_002475_1_bicycle,,,2007_007250_1_bottle,,,,2009_002556_3_chair,,,,,2008_006889_1_motorbike,,2011_001622_4_pottedplant,,,,
,2010_004154_1_bicycle,,,2011_003010_4_bottle,,,,2008_007780_2_chair,,,,,2011_001040_1_motorbike,,2011_000196_1_pottedplant,,,,
,2010_000209_1_bicycle,,,2008_001312_4_bottle,,,,2009_003110_1_chair,,,,,2010_002469_1_motorbike,,2008_007108_1_pottedplant,,,,
,2011_001896_1_bicycle,,,2008_006104_1_bottle,,,,2009_003494_3_chair,,,,,2008_005422_1_motorbike,,2008_004171_1_pottedplant,,,,
,2009_000055_1_bicycle,,,2011_000996_10_bottle,,,,2010_001199_2_chair,,,,,2008_000858_2_motorbike,,2009_000198_3_pottedplant,,,,
,2008_007993_1_bicycle,,,2009_002850_3_bottle,,,,2008_004313_2_chair,,,,,2011_001508_1_motorbike,,2007_005813_1_pottedplant,,,,
,2008_004758_1_bicycle,,,2008_007142_1_bottle,,,,2009_003326_1_chair,,,,,2008_008525_1_motorbike,,2011_001175_1_pottedplant,,,,
,2008_008357_2_bicycle,,,2008_006136_4_bottle,,,,2009_003253_1_chair,,,,,2009_000341_1_motorbike,,2007_002378_6_pottedplant,,,,
,2010_003811_4_bicycle,,,2008_007076_1_bottle,,,,2009_001371_2_chair,,,,,2009_000858_1_motorbike,,2011_002810_27_pottedplant,,,,
,2010_001592_1_bicycle,,,2010_002373_2_bottle,,,,2009_001038_1_chair,,,,,2010_000744_1_motorbike,,2008_003732_6_pottedplant,,,,
,2007_009618_1_bicycle,,,2009_002850_5_bottle,,,,2009_003884_1_chair,,,,,2008_001691_1_motorbike,,2011_002443_1_pottedplant,,,,
,2008_005713_1_bicycle,,,2010_001142_1_bottle,,,,2009_001070_1_chair,,,,,2011_000898_1_motorbike,,2008_005856_1_pottedplant,,,,
,2008_006579_1_bicycle,,,2011_002358_1_bottle,,,,2010_002728_2_chair,,,,,2010_004941_1_motorbike,,2009_000217_2_pottedplant,,,,
,2008_004592_4_bicycle,,,2008_006331_2_bottle,,,,2009_004499_5_chair,,,,,2009_000602_1_motorbike,,2010_005758_10_pottedplant,,,,
,2009_001758_3_bicycle,,,2011_001847_6_bottle,,,,2008_002521_1_chair,,,,,2009_000611_1_motorbike,,2008_000790_1_pottedplant,,,,
,2010_001753_1_bicycle,,,2010_002931_2_bottle,,,,2009_004217_1_chair,,,,,2009_002335_1_motorbike,,2008_005111_5_pottedplant,,,,
,2010_000898_1_bicycle,,,2009_002856_1_bottle,,,,2008_000498_1_chair,,,,,2010_005429_1_motorbike,,2008_008621_2_pottedplant,,,,
,2009_002668_1_bicycle,,,2010_001219_1_bottle,,,,2010_005746_1_chair,,,,,2009_004093_1_motorbike,,2008_002317_16_pottedplant,,,,
,2011_002049_1_bicycle,,,2009_003888_7_bottle,,,,2010_001199_3_chair,,,,,2010_005160_2_motorbike,,2008_007390_2_pottedplant,,,,
,2007_009258_1_bicycle,,,2008_001304_14_bottle,,,,2008_006300_8_chair,,,,,2010_004191_2_motorbike,,2010_004683_2_pottedplant,,,,
,2007_006449_1_bicycle,,,2011_002920_4_bottle,,,,2008_006303_1_chair,,,,,2008_003269_1_motorbike,,2010_005536_1_pottedplant,,,,
,2008_007179_1_bicycle,,,2011_000027_1_bottle,,,,2010_005222_1_chair,,,,,2008_004822_1_motorbike,,2008_006562_1_pottedplant,,,,
,2009_001558_1_bicycle,,,2009_003034_2_bottle,,,,2009_003508_17_chair,,,,,2008_003637_1_motorbike,,2010_005996_2_pottedplant,,,,
,2008_007410_1_bicycle,,,2007_004476_4_bottle,,,,2008_001764_1_chair,,,,,2008_000858_1_motorbike,,2011_002810_8_pottedplant,,,,
,2008_001626_1_bicycle,,,2010_001682_5_bottle,,,,2008_004670_2_chair,,,,,2008_007241_2_motorbike,,2008_004428_3_pottedplant,,,,
,2011_001806_1_bicycle,,,2009_005183_7_bottle,,,,2008_001783_1_chair,,,,,,,2009_001229_1_pottedplant,,,,
,2009_001704_2_bicycle,,,2009_001414_3_bottle,,,,2009_002078_10_chair,,,,,,,2008_004003_3_pottedplant,,,,
,2009_003164_1_bicycle,,,2011_002236_7_bottle,,,,2008_006300_1_chair,,,,,,,2008_003768_2_pottedplant,,,,
,2011_000791_1_bicycle,,,2009_004542_1_bottle,,,,2008_003821_1_chair,,,,,,,2008_004003_4_pottedplant,,,,
,2007_009618_2_bicycle,,,2009_002433_13_bottle,,,,2009_000214_2_chair,,,,,,,2008_006562_2_pottedplant,,,,
,2009_002295_1_bicycle,,,2011_000747_7_bottle,,,,2010_005398_7_chair,,,,,,,2009_003039_2_pottedplant,,,,
,2010_005658_1_bicycle,,,2009_000130_1_bottle,,,,2010_004509_2_chair,,,,,,,2007_001430_7_pottedplant,,,,
,2010_005782_1_bicycle,,,2008_006111_2_bottle,,,,2008_001467_3_chair,,,,,,,2009_001412_5_pottedplant,,,,
,2009_002401_1_bicycle,,,2008_007361_3_bottle,,,,2009_000028_3_chair,,,,,,,2010_001773_1_pottedplant,,,,
,2008_006855_3_bicycle,,,2008_006136_5_bottle,,,,2010_002728_3_chair,,,,,,,2011_001011_3_pottedplant,,,,
,2009_004848_1_bicycle,,,2008_004814_5_bottle,,,,2009_002252_1_chair,,,,,,,2011_002443_3_pottedplant,,,,
,2010_002814_1_bicycle,,,2009_002940_3_bottle,,,,2009_002558_1_chair,,,,,,,2008_008341_1_pottedplant,,,,
,2008_005147_1_bicycle,,,2007_006409_3_bottle,,,,2009_000422_2_chair,,,,,,,2009_003326_2_pottedplant,,,,
,2008_008707_4_bicycle,,,2008_007852_3_bottle,,,,2008_008536_1_chair,,,,,,,2008_006807_4_pottedplant,,,,
,2008_006234_1_bicycle,,,2010_003597_5_bottle,,,,2008_001723_4_chair,,,,,,,2009_003819_3_pottedplant,,,,
,2009_002400_1_bicycle,,,2008_002776_2_bottle,,,,2008_001715_1_chair,,,,,,,2009_004885_1_pottedplant,,,,
,2009_003224_1_bicycle,,,2008_006969_10_bottle,,,,2008_006300_6_chair,,,,,,,2010_004825_8_pottedplant,,,,
,2008_002883_1_bicycle,,,2007_000559_1_bottle,,,,2008_004964_2_chair,,,,,,,2008_008531_1_pottedplant,,,,
,2010_004809_1_bicycle,,,2008_006808_6_bottle,,,,2009_004002_1_chair,,,,,,,2011_003205_4_pottedplant,,,,
,2008_008652_1_bicycle,,,2010_002457_2_bottle,,,,2008_007893_1_chair,,,,,,,2010_001851_7_pottedplant,,,,
,2009_004797_1_bicycle,,,2008_007528_5_bottle,,,,2010_005371_2_chair,,,,,,,2010_001246_5_pottedplant,,,,
